date,NIFTY50,SENSEX,BANKNIFTY,NIFTY500
2012-11-30,5879.8501,19339.9004,12158.7588,4675.2437
2012-12-31,5905.1001,19426.7109,12474.1055,4743.4438
2013-01-31,6034.7500,19894.9805,12708.4521,4795.2935
2013-02-28,5693.0498,18861.5391,11487.2158,4477.4941
2013-03-31,5682.5498,18835.7695,11361.7178,4438.3442
2013-04-30,5930.2002,19504.1797,12561.4033,4641.7441
2013-05-31,5985.9502,19760.3008,12475.5059,4681.4438
2013-06-30,5842.2002,19395.8105,11617.1152,4510.8940
2013-07-31,5742.0000,19345.6992,10015.6338,4379.6440
2013-08-31,5471.7998,18619.7207,9049.0947,4175.8447
2013-09-30,5735.2998,19379.7695,9617.6885,4392.0439
2013-10-31,6299.1499,21164.5195,11473.0166,4804.8438
2013-11-30,6176.1001,20791.9297,11153.8203,4770.0938
2013-12-31,6304.0000,21170.6797,11385.1172,4914.8438
2014-01-31,6089.5000,20513.8496,10237.6309,4709.1436
2014-02-28,6276.9502,21120.1191,10764.5752,4849.4937
2014-03-31,6704.2002,22386.2695,12741.9014,5224.8433
2014-04-30,6696.3999,22417.8008,12855.7002,5255.6431
2014-05-31,7229.9502,24217.3398,14793.2285,5802.8423
2014-06-30,7611.3501,25413.7793,15241.7236,6174.1919
2014-07-31,7721.2998,25894.9707,15267.4219,6194.4419
2014-08-31,7954.3501,26638.1094,15740.2178,6360.7417
2014-09-30,7964.7998,26630.5098,15392.0713,6415.6919
2014-10-31,8322.2002,27865.8301,17044.8535,6685.7412
2014-11-30,8588.2500,28693.9902,18512.9355,6918.0405
2014-12-31,8282.7002,27499.4199,18736.4316,6773.6411
2015-01-31,8808.9004,29182.9492,19843.5195,7166.6909
2015-02-28,8844.5996,29220.1191,19074.3281,7210.2905
2015-03-31,8491.0000,27957.4902,18206.4395,6978.1406
2015-04-30,8181.5000,27011.3105,18337.8867,6749.6411
2015-05-31,8433.6504,27828.4395,18721.1328,6959.8408
2015-06-30,8368.5000,27780.8301,18295.8867,6897.1909
2015-07-31,8532.8496,28114.5605,18729.6328,7106.1909
2015-08-31,7971.2998,26283.0898,17146.3516,6669.3413
2015-09-30,7948.8999,26154.8301,17216.1016,6646.0913
2015-10-31,8065.7998,26656.8301,17354.2988,6750.9414
2015-11-30,7935.2500,26145.6699,17430.1973,6686.0913
2015-12-31,7946.3501,26117.5391,16922.0020,6724.7412
2016-01-31,7563.5498,24870.6895,15522.2197,6339.4419
2016-02-29,6987.0498,23002.0000,13946.2383,5829.9424
2016-03-31,7738.3999,25341.8594,16141.4629,6452.1416
2016-04-30,7849.7998,25606.6191,16794.8047,6588.5410
2016-05-31,8160.1001,26667.9609,17620.6953,6803.9912
2016-06-30,8287.7500,26999.7207,17935.1914,6980.7905
2016-07-31,8638.5000,28051.8594,18952.9297,7329.9902
2016-08-31,8786.2002,28452.1699,19787.3691,7490.6401
2016-09-30,8611.1504,27865.9609,19285.4746,7394.8403
2016-10-31,8638.0000,27941.5098,19555.7227,7494.0903
2016-11-30,8224.5000,26652.8105,18627.5840,7079.3906
2016-12-31,8185.7998,26626.4609,18176.9883,6982.7905
2017-01-31,8561.2998,27655.9609,19514.9238,7379.2900
2017-02-28,8879.5996,28743.3203,20607.0098,7709.0898
